numberOfOccurrences;species;taxonKey;intraSpeciesPercentage
67995;Geranium rotundifolium;2891031;6.63
67975;Sinapis arvensis;3047598;89.89
67876;Digitaria sanguinalis;5289972;92.03
67632;Primula elatior;5414326;18.24
67539;Veronica hederifolia;3172070;6.43
67435;Vincetoxicum hirundinaria;5414548;97.76
66563;Campanula rapunculus;5411920;14.79
66480;Euphorbia peplus;3066386;6.74
66305;Convallaria majalis;7459480;100.0
66131;Hyacinthoides non-scripta;5304283;94.9
66054;Scrophularia auriculata;3170875;33.41
65944;Cephalanthera longifolia;2795869;39.34
65901;Asplenium scolopendrium;2650669;15.64
65794;Phyteuma spicatum;3166841;44.1
65600;Medicago arabica;2965527;13.22
65488;Himantoglossum robertianum;5324959;31.98
65394;Bistorta officinalis;7925535;56.71
65237;Lemna minor;2867589;70.87
65127;Orchis anthropophora;2849624;15.24
64923;Reynoutria japonica;2889173;85.3
64206;Arctium minus;5393103;54.53
64138;Rhamnus cathartica;3039491;52.66
64122;Genista tinctoria;5347612;21.97
64011;Cymbalaria muralis;8200663;98.72
63725;Buddleja davidii;3173338;99.66
63625;Melittis melissophyllum;8105693;100.0
63425;Jacobaea erucifolia;10487667;20.33
63402;Pittosporum tobira;8677924;100.0
63259;Carex pilulifera;2726614;2.92
63212;Viola odorata;5331181;10.91
62983;Muscari comosum;2769204;60.3
62826;Carex halleriana;2723055;2.9
62762;Erigeron annuus;3117449;20.31
62750;Centaurium erythraea;5414457;71.62
62589;Milium effusum;2706196;98.48
62515;Sisymbrium officinale;3046890;81.35
62401;Carex acutiformis;2723099;2.88
62360;Teucrium montanum;7308294;11.49
62113;Tilia platyphyllos;3152048;58.91
61975;Alopecurus myosuroides;5290097;34.93
61922;Pentanema squarrosum;10998833;48.96
61792;Geranium sylvaticum;2891147;6.03
61752;Sherardia arvensis;5339050;100.0
61745;Ambrosia artemisiifolia;8002952;97.71
61721;Carex pendula;2722051;2.85
61493;Barbarea vulgaris;5708780;78.87
61373;Platanthera chlorantha;2797913;45.43
61363;Rhododendron ferrugineum;2883073;95.05
61310;Salix atrocinerea;5582546;8.44
61108;Silene nutans;5384781;7.96
60813;Arum italicum;5330661;30.05
60754;Ophrys insectifera;2792588;14.6
60579;Melampyrum pratense;7693914;50.14
60418;Dryopteris dilatata;5275103;14.8
60043;Alisma plantago-aquatica;2865100;78.87
59706;Hypericum pulchrum;3712747;9.19
59704;Carex caryophyllea;2727655;2.75
59594;Lolium pratense;2706237;10.66
59411;Glyceria fluitans;2705495;55.54
58998;Veronica beccabunga;3172062;5.61
58839;Campanula trachelium;5412014;13.07
58788;Paris quadrifolia;5295911;100.0
58582;Typha latifolia;5289423;74.44
58539;Setaria viridis;5289684;49.9
58454;Euphorbia dulcis;3069475;5.93
58428;Carex leporina;8285827;2.69
57955;Seseli montanum;6026420;72.84
57754;Polypodium vulgare;5274951;59.09
57167;Melilotus albus;2971095;53.39
57131;Cephalanthera damasonium;2795952;34.09
56888;Colchicum autumnale;2739622;77.13
56862;Blackstonia perfoliata;6366886;94.14
56834;Prenanthes purpurea;3090783;100.0
56733;Carex sempervirens;2722326;2.62
56539;Thymus praecox;5341449;27.13
56477;Globularia bisnagarica;5578472;46.43
56474;Prunus laurocerasus;3021496;6.73
56451;Carex nigra;2724925;2.6
56212;Orchis militaris;2809968;13.15
56046;Dactylorhiza majalis;2810155;21.18
55964;Malva moschata;3152379;26.19
55874;Luzula sylvatica;2700859;14.0
55581;Polytrichum formosum;4280088;79.25
55461;Gnaphalium uliginosum;5390848;99.79
55145;Festuca myuros;2702727;9.0
54977;Lathyrus linifolius;5356393;12.15
54711;Thymus pulegioides;5341443;26.25
54662;Taraxacum officinale;5394163;51.69
54513;Veronica serpyllifolia;3172057;5.19
54505;Juncus tenuis;2702084;6.53
54202;Cichorium intybus;5392252;99.13
54167;Neotinea ustulata;2812375;82.14
54086;Plantago coronopus;3189739;5.46
53906;Persicaria hydropiper;8323622;19.31
53651;Scirpus sylvaticus;2720080;99.55
53298;Rumex conglomeratus;2888963;5.76
53275;Verbascum thapsus;3171949;30.71
53238;Allium vineale;7792960;20.89
53204;Hippocrepis emerus;5353705;28.4
53171;Agrostis canina;2706465;11.7
53017;Ribes alpinum;2986184;29.19
52774;Lipandra polysperma;8273130;100.0
52675;Poa bulbosa;8086756;5.49
52422;Euphorbia peplis;3066482;5.32
